scope_category,vendor_a_sheet,vendor_b_sheet,vendor_a_idx,vendor_b_idx,method,confidence
Steelwork,Steelwork,Steelwork,,96.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,97.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,98.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,99.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,100.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,101.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,102.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,103.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,104.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,105.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,106.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,107.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,108.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,109.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,110.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,111.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,112.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,113.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,114.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,115.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,116.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,117.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,118.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,119.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,120.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,121.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,122.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,123.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,124.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,125.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,126.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,127.0,UNMATCHED,UNMATCHED
Steelwork,Steelwork,Steelwork,,128.0,UNMATCHED,UNMATCHED
